Group,Company,Demo Day Goal,[01/07/26]  - Two Week Goals,Progress / Notes 1,[01/21/26]  - Two Week Goals,Progress / Notes 2,[02/04/26]  - Two Week Goals,Progress / Notes 3,[02/18/26]  - Two Week Goals,Progress / Notes 4,[03/0426]  - Demo Day,Progress / Notes Final
1,Waycraft,Ship Waycraft—an AI coach for founders—to every founder in this batch.,"Ship ""coach"" to 5 members",,,,,,,,,
1,Vly AI,$10k mrr,roll out payments to everyone and hit $1k mrr,,,,,,,,,
1,Superset,10k MRR,50 DAU + Stripe integration completed,,,,,,,,,
1,Winter Comics,"50k MRR, Training the first animation foundational model",,,,,,,,,,
1,Deep24,Place 100 people into jobs using Deep24,"Get first round of common gap users onto Deep24 and have them send their data to employers. Get founders using the software too, true V2 out (hopefully launched software on it's own).",,,,,,,,,
1,Agent Viz (Justin Wei),1000 users,10 users,,,,,,,,,
1,denormalized (Hardik Vala),3 customer LOIs,Book 50 discovery calls,,,,,,,,,
2,Clarum (Anton Otaner),Ship V2 to existing customers and 500k ARR,Finish development of the V2 and have one customer using it. ,Demo by Monday,,,,,,,,
2,Friday (Allen Naliath),$1M ARR + Get the product to a point where we can ramp up GTM,Onboard 2 people to the $500/month tier of Friday,,,,,,,,,
2,Assembly HOA (Shreyas),$1M ARR,"$800k ARR (+$80k), +20 leads, metric for AI agent success",,,,,,,,,
2,Articulate (Milind Sagaram),$300k ARR,Get 1 more pilot initiated,,,,,,,,,
2,Unknown (Matt Stalone),,,,,,,,,,,
2,"Postquant Labs
(Colton Dillion
& Richard Carback)","two more quantum suppliers signed
three quantum consumers purchasing services
public testnet launched with 1000+ H100 equivalents mining","5 employees fully onboarded
$5M wired from committed investors
30 meetings on the calendar with suppliers and consumers","4 employees onboarded
$0 wired
0 meetings on the calendar",,,,,,,,
3,LunaBill,$5m in arr,"automate 10,000 calls weekly; onboard ucsf fully; finalize housing; send investor updates","~6000 calls weekly, fixing QA agent",,,,,,,,
3,Adapted,20 users who maintain >80% session compliance for over 4 weeks,Onboard 5 users who stick at least 1 week,"Onboarded 7 users, however only 3 have completed 1 week",,,,,,,,
3,Kaymo AI,Public launch and 20 organic users with uploaded data,E2E segmentation workflow bug free on staging for Prenuvo and Q Bio zip files,"Implemented core support for multi-study uploads. Next improve frontend UI for this.
Distractions: a16z Speedrun video submission, research on synthetic medical data",,,,,,,,
3,DrSwarm,"Ship v1 Complete 500 real tasks across 3 clinics, with <5% manual rescue.","Do 10 investor calls, Do 10 customer calls, Talk to 5 partners","Built out Spreadsheet CRM and Investor target list, behind on calls, need to crank out more calls/emails to get meetings",,,,,,,,
3,Vishal AI Healthcare (Vishal Jain),250k ARR signed/committed,Sign 1 customer,,,,,,,,,
4,Sidepilot,$600k ARR,,,,,,,,,,
4,Flair Labs,,,,,,,,,,,
4,Awesomic,,,,,,,,,,,
4,Eureka Health,,,,,,,,,,,
4,skylarq.ai,50 Customers,,,,,,,,,,
4,AI Expert Clones (Mindbase),50 creators monetising their clones or paying to us for using the broadcasting feature of the platform,"Launch monetizable clones forEnglish tutor creator. And Sell 10 subsriptions for it, onboard 5 course selling creators based out of usa",-Launched monetizable clone of english tutor,,,,,,,,
5,Rubbrband,$600K ARR,"Finish delivery of 3 additional videos for existing clients, close $25k in revenue ",,,,,,,,,
5,AI Video Studio (Darwin Lo),$100k ARR,Deliver 25 videos for our client,,,,,,,,,
5,Ottoclip,Create complete product tour videos/onboarding guides for every company in batch. Get 10 as customers.,Create automated product tour videos for every company in the group.,,,,,,,,,
5,Alphie,20 paying customers,3 paying customers,,,,,,,,,
5,Vortex Software,3 case studies,Launch AI-driven demo,,,,,,,,,
5,Benchify,,,,,,,,,,,
6,Tweeks.io,10k WAU,1k WAU,01/12: ~500WAU,,,,,,,,
6,Wildcard,"10K MRR, 2 killer casestudies",10 booked calls,01/12 - 0 new calls,,,,,,,,
6,TypeOS,"10,000 WAU",1000 more users + Understand what the biggest use case is,Absent,,,,,,,,
6,Orvyn,100 Firms,Finish next major milestone in product development,Absent,,,,,,,,
6,AutoStep,More enterprise contracts/add 500k ARR (TLDR: 5 enterprise contracts),Another paid,"2 qualifieds booked, (labels in progress)",,,,,,,,
6,Pally,"1,000 DAU (3+ messages sent in a day)",50 WAU,"13 WAU, 25 onboardings booked",,,,,,,,
6,ThunderPhone,"10,000 weekly usage minutes","Launch live landing page, API, API docs, web front end by 1/21","Landing page 1/3 done, web app 1% done, API not started but underlying products 1/3 done",,,,,,,,
7,Irving Technology,"Launch our law firm, which has $XM run rate from acquired clients from our hired partners","4 partners closed, demo ready for fundraising",,,,,,,,,
7,Pixie,50 paying customers,2 CPA partners,,,,,,,,,
7,Eden,250k ARR,,,,,,,,,,
7,Arcimus,8k MRR + 2 hires ,2 customers landed,,,,,,,,,
7,MISTASHO (Noah Debrincat),15 DAU,"Launch V1, complete 2 user interviews (watch them use it)",,,,,,,,,
7,GhostEye,25 Customers + 10 Enterprise Pilots ,,,,,,,,,,
7,Dream,,,,,,,,,,,
8,UBiosis Health,"25 clinics, 200 patients enrolled, decide on a cofounder ±",establish relationships with anchor 3 GI relationships ,"met with mayo, ut health, and BCM",prep demo,,,,,,,
8,NearWave,Newest device shipped to 10 new customers. $2M seed+ closed.,"Strategy meeting done w/ stakeholders, vB device completed, begin testing.",device testing strated [DONE]. vB still in progress.[IN PROG] Strategy meeting booked. [DONE],"-Demo next week.
-vB fully built out 
- 30 outreach emails on seed+",,,,,,,
8,10xR,10K MRR + >80% usage ,,,,,,,,,,
8,MedPiper,5k policies/month ($50k MRR),go live with D2C launch (move out of waitlist),product filed with regulator for approval [DONE],50 payouts. Investor deck prep,,,,,,,
8,35Financial,Autonomous loan/bank account opening,Account opening works end-to-end,Built account opening and loans. [Done] Unblocked 1.14.26 being able to call bank core to post in sandbox.  [In-progress],Record Demo. Get positioning tight.,,,,,,,
8,Marketfit.xyz,100 paid users ,"- release working v0.2 product and share with batchmates 
- use MarketFit to grow MarketFit and get 3 users
- set up Evals with real user data ",- 1/14 halfway building MVP for v0.2,,,,,,,,
8,Yuzu Labs,$30k mrr and 5 full launch programs sold $50k (80 customers? Is this possible) lol ,"Theme: discovery + alignment
- shift website, blurb, deck to video as GTM (turn any conversation into content that drives revenue)
- Identify the 1-2 icp's and start outreach on Linkedin DM's and Outbound email by monday 1/16
- 2 Product Flows for lead gen (source --> processing for script --> video gen)

- Record demo for 1/21 meeting

Feb - start growth with customers and tracking","- $10k in angel signed
- talked to users and tested on new messaging
- working on structuring the next few weeks through end of March, with 3/10 demo day
- Wrote one random viral linkedin ;) 
- Get 10 of our existing customers to use it regularly by end of month",,,,,,,,
9,Vespper,,,,,,,,,,,
9,Tendered,,,,,,,,,,,
9,MCPBundles.com,,,,,,,,,,,
9,Hey Telo,,,,,,,,,,,
10,Oversteer,,,,,,,,,,,
10,Bilanc,$16K MRR,$13K MRR,,,,,,,,,
10,Cuanto,Payment infra to process and pay out merchants in new countries,Year kickoff customer feedback quick wins — kill this list,,Unit economics clarity for expansion,,KYC + Merchant validation revamp for expansion,,Regional payins/payouts foundation,,,
10,Repacket,0 > 100K ARR (our YC demo day goal),Book 10-15 calls or kick off 1 pilot,,,,,,,,,
10,Tau9 Labs,Sign >$300k of enterprise deals (1-2 deals),Book calls with 5 prospects from the funnel. ,,,,,,,,,
10,Short Story,,,,,,,,,,,
10,Portfolio Pilot,,,,,,,,,,,
10,Coach,,,,,,,,,,,